Scientific Name,Accepted Symbol
Abelia,ABELI
Abelia ×grandiflora,ABGR4
Abelmoschus,ABELM
Abelmoschus esculentus,ABES
Hibiscus esculentus,ABES
Abelmoschus manihot,ABMA9
Hibiscus manihot,ABMA9
Abelmoschus moschatus,ABMO
Hibiscus abelmoschus,ABMO
Abies,ABIES
Abies alba,ABAL3
Abies amabilis,ABAM
Abies balsamea,ABBA
Abies balsamea var. balsamea,ABBAB
Pinus balsamea,ABBAB
Abies balsamea var. phanerolepis,ABBAP
Abies ×phanerolepis,ABBAP
Abies bracteata,ABBR
Abies venusta,ABBR
Abies concolor,ABCO
Abies concolor var. concolor,ABCO
Abies firma,ABFI
Abies fraseri,ABFR
Pinus fraseri,ABFR
Abies grandis,ABGR
Abies grandis var. grandis,ABGR
Abies grandis var. idahoensis,ABGR
Abies grandis ssp. idahoensis,ABGR
Abies grandis f. johnsonii,ABGR
Abies guatemalensis,ABGU
Abies homolepis,ABHO
Abies lasiocarpa,ABLA
Abies lasiocarpa var. arizonica,ABLAA
Abies arizonica,ABLAA
Abies lasiocarpa var. lasiocarpa,ABLAL
Abies balsamea var. fallax,ABLAL
Abies balsamea ssp. lasiocarpa,ABLAL
Abies bifolia,ABLAL
Abies lasiocarpa ssp. bifolia,ABLAL
Abies lasiocarpa var. bifolia,ABLAL
Abies subalpina,ABLAL
Abies lowiana,ABLO
Abies concolor var. lowiana,ABLO
Abies magnifica,ABMA
Abies magnifica var. magnifica,ABMAM
Abies magnifica var. shastensis,ABMAS
Abies magnifica var. critchfieldii,ABMAS
Abies magnifica ssp. shastensis,ABMAS
Abies ×shastensis,ABMAS
Abies procera,ABPR
Abies nobilis,ABPR
Abies veitchii,ABVE2
Abietinella,ABIET
Abietinella abietina,ABAB70
Hypnum abietinum,ABAB70
Thuidium abietinum,ABAB70
Abildgaardia,ABILD
Abildgaardia ovata,ABOV
Abildgaardia monostachya,ABOV
Cyperus monostachyos,ABOV
Fimbristylis monostachya,ABOV
Fimbristylis ovata,ABOV
Abroma,ABROM
Ambroma,ABROM
Abroma augustum,ABAU3
Abroma augusta,ABAU3
Ambroma augusta,ABAU3
Ambroma augustum,ABAU3
Abronia,ABRON
Abronia alpina,ABAL
Abronia ameliae,ABAM2
Abronia ammophila,ABAM3
Abronia fendleri,ABAM3
Abronia angustifolia,ABAN
